case_id,incident_time,month,hour,season,sea_area_type,vessel_type,tonnage,leeway_key,incident_lat,incident_lon,elapsed_hours,wind_speed_mps,wind_direction_deg,tidal_current_amplitude_kt,l1_pred_lat,l1_pred_lon,synthetic_found_lat,synthetic_found_lon,delta_lat,delta_lon,l1_error_km,is_synthetic,synthetic_method
L3_SYN_0001,2017-10-17 18:11:00,10,18,여름,외해,어선,4.0,소형어선,34.35111,125.20083,2.4,3.0,244.0,0.9,34.33542,125.18099,34.33979,125.1803,0.004371,-0.000689,0.489,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0002,2022-10-16 09:48:00,10,9,여름,외해,어선,4.0,소형어선,34.93778,125.84389,1.82,4.0,216.0,0.9,34.9431,125.84521,34.94586,125.8483,0.002756,0.003085,0.415,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0003,2022-10-05 12:06:00,10,12,여름,외해,어선,4.0,소형어선,34.19806,125.43,0.99,6.6,208.0,0.9,34.19515,125.4272,34.19631,125.42974,0.001151,0.002545,0.266,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0004,2018-10-31 12:10:00,10,12,여름,연안,어선,4.0,소형어선,34.93333,126.16667,2.92,2.4,217.0,1.6,34.92638,126.15935,34.92509,126.15193,-0.001292,-0.007419,0.69,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0005,2020-09-05 07:28:00,9,7,여름,외해,어선,4.0,소형어선,34.89833,125.30667,2.91,4.3,236.0,0.9,34.93145,125.34584,34.93056,125.33229,-0.000896,-0.013549,1.237,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0006,2019-07-25 17:47:00,7,17,여름,외해,어선,4.0,소형어선,35.06639,125.97,1.77,3.1,217.0,0.9,35.07129,125.97258,35.07038,125.97255,-0.000912,-3.6e-05,0.101,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0007,2020-05-03 13:39:00,5,13,여름,연안,모터보트,4.0,레저보트,34.92667,126.30556,3.3,6.0,262.0,1.6,34.88747,126.27737,34.86827,126.26209,-0.019203,-0.015272,2.545,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0008,2017-05-23 17:20:00,5,17,여름,연안,모터보트,4.0,레저보트,34.80194,126.36139,2.37,12.1,228.0,1.6,34.84607,126.43917,34.8509,126.43499,0.004834,-0.004178,0.658,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0009,2022-04-28 20:22:00,4,20,여름,연안,예부선,4.0,기타,35.315,126.06361,2.2,4.7,232.0,1.6,35.34331,126.10339,35.35461,126.09537,0.011302,-0.008022,1.45,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0010,2024-01-27 01:55:00,1,1,겨울,연안,어선,4.0,소형어선,34.22417,126.115,1.81,5.9,350.0,1.6,34.23944,126.14453,34.24348,126.14956,0.004038,0.00503,0.643,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0011,2018-09-08 12:09:00,9,12,여름,연안,어선,4.0,소형어선,34.07389,126.04556,2.76,9.8,221.0,1.6,34.09813,126.06031,34.09699,126.05604,-0.00114,-0.004279,0.413,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
